year,school,course_code,course_name,reference
2023,School of Applied Science,C27,Common Science Programme,https://www.nyp.edu.sg/schools/sas/full-time-courses/common-science-programme.html
2023,School of Design & Media,C28,Common Design & Media Programme,https://www.nyp.edu.sg/schools/sdm/full-time-courses/common-media-design-programme.html
2023,School of Design & Media,C29,"Diploma in Animation, Games & Visual Effects",https://www.nyp.edu.sg/schools/sdm/full-time-courses/animation-games-visual-effects.html
2023,School of Design & Media,C30,Diploma in Communication & Motion Design,https://www.nyp.edu.sg/schools/sdm/full-time-courses/communication-and-motion-design.html
2023,School of Engineering,C31,Diploma in Ai & Data Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/ai-and-data-engineering.html
2023,School of Design & Media,C32,Diploma in Experiential Product & Interior Design,https://www.nyp.edu.sg/schools/sdm/full-time-courses/experiential-product-and-interior-design.html
2023,School of Business Management,C34,Common Business Programme,https://www.nyp.edu.sg/schools/sbm/full-time-courses/common-business-programme.html
2023,School of Information Technology,C35,Diploma in Business & Financial Technology,https://www.nyp.edu.sg/schools/sit/full-time-courses/business-and-financial-technology.html
2023,School of Information Technology,C36,Common ICT Programme,https://www.nyp.edu.sg/schools/sit/full-time-courses/common-ict-programme.html
2023,School of Design & Media,C38,Diploma in Architecture,https://www.nyp.edu.sg/schools/sdm/full-time-courses/architecture.html
2023,School of Engineering,C41,Diploma in Engineering With Business,https://www.nyp.edu.sg/schools/seg/full-time-courses/engineering-with-business.html
2023,School of Engineering,C42,Common Engineering Programme,https://www.nyp.edu.sg/schools/seg/full-time-courses/common-engineering-programme.html
2023,School of Information Technology,C43,Diploma in Applied Ai & Analytics,https://www.nyp.edu.sg/schools/sit/full-time-courses/applied-ai-and-analytics.html
2023,School of Applied Science,C45,Diploma in Applied Chemistry,https://www.nyp.edu.sg/schools/sas/full-time-courses/applied-chemistry.html
2023,School of Business Management,C46,Diploma in Food & Beverage Business,https://www.nyp.edu.sg/schools/sbm/full-time-courses/food-and-beverage-business.html
2023,School of Health & Social Sciences,C47,Diploma in Social Work,https://www.nyp.edu.sg/schools/shss/full-time-courses/social-work.html
2023,School of Applied Science,C49,Diploma in Biologics & Process Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/biologics-and-process-technology.html
2023,School of Engineering,C50,Diploma in Nanotechnology & Materials Science,https://www.nyp.edu.sg/schools/seg/full-time-courses/nanotechnology-and-materials-science.html
2023,School of Engineering,C51,Diploma in Aeronautical & Aerospace Technology,https://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html
2023,School of Engineering,C52,Diploma in Aerospace Systems & Management,https://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html
2023,School of Information Technology,C54,Diploma in Cybersecurity & Digital Forensics,https://www.nyp.edu.sg/schools/sit/full-time-courses/cybersecurity-and-digital-forensics.html
2023,School of Engineering,C62,Diploma in Advanced & Digital Manufacturing,https://www.nyp.edu.sg/schools/seg/full-time-courses/advanced-and-digital-manufacturing.html
2023,School of Applied Science,C65,Diploma in Pharmaceutical Science,https://www.nyp.edu.sg/schools/sas/full-time-courses/pharmaceutical-science.html
2023,School of Business Management,C67,Diploma in Hospitality & Tourism Management,https://www.nyp.edu.sg/schools/sbm/full-time-courses/hospitality-and-tourism-management.html
2023,School of Applied Science,C69,Diploma in Food Science & Nutrition,https://www.nyp.edu.sg/schools/sas/full-time-courses/food-science-and-nutrition.html
2023,School of Design & Media,C70,Diploma in Game Development & Technology,https://www.nyp.edu.sg/schools/sdm/full-time-courses/game-development-and-technology.html
2023,School of Engineering,C71,Diploma in Biomedical Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/biomedical-engineering.html
2023,School of Health & Social Sciences,C72,Diploma in Oral Health Therapy,https://www.nyp.edu.sg/schools/shss/full-time-courses/oral-health-therapy.html
2023,School of Applied Science,C73,Diploma in Chemical & Pharmaceutical Technology,https://www.nyp.edu.sg/schools/sas/full-time-courses/chemical-and-pharmaceutical-technology.html
2023,School of Engineering,C75,Diploma in Infocomm & Media Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/infocomm-and-media-engineering.html
2023,School of Information Technology,C80,Diploma in Infocomm & Security,https://www.nyp.edu.sg/schools/sit/full-time-courses/infocomm-and-security.html
2023,School of Business Management,C81,Diploma in Sport & Wellness Management,https://www.nyp.edu.sg/schools/sbm/full-time-courses/sports-and-wellness.html
2023,School of Information Technology,C85,Diploma in Information Technology,https://www.nyp.edu.sg/schools/sit/full-time-courses/Information-technology.html
2023,School of Engineering,C87,Diploma in Robotics & Mechatronics,https://www.nyp.edu.sg/schools/seg/full-time-courses/robotics-and-mechatronics.html
2023,School of Engineering,C89,Diploma in Electronic & Computer Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/electronic-computer-engineering.html
2023,School of Business Management,C93,Diploma in Mass Media Management,https://www.nyp.edu.sg/schools/sbm/full-time-courses/mass-media-management.html
2023,School of Business Management,C94,Diploma in Business Management,https://www.nyp.edu.sg/schools/sbm/full-time-courses/business-management.html
2023,School of Business Management,C96,Diploma in Banking And Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html
2023,School of Health & Social Sciences,C97,Diploma in Nursing,https://www.nyp.edu.sg/schools/shss/full-time-courses/nursing.html
2023,School of Business Management,C98,Diploma in Accountancy & Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html
